lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.821073559711934,144.94691408796078,2024-12-25,1,1,1,1.0
-37.821065145968376,144.9442510973915,2024-03-22,9,1,1,1.0
-37.82105563700918,144.94697668897598,2024-11-14,7,1,0,0.0
-37.82105266660878,144.94222412117483,2025-08-03,2,1,0,0.0
-37.82105107549779,144.95163483797234,2025-06-17,9,1,1,1.0
-37.82105050953709,144.9453364240078,2025-08-03,8,1,0,0.0
-37.82104865107159,144.94339948999047,2025-08-03,9,1,1,1.0
-37.82104009152626,144.94433934119712,2024-03-22,8,1,1,1.0
-37.821039942519995,144.94543155629415,2025-06-10,23,1,0,0.0
-37.82103357858126,144.94333640050053,2025-08-03,6,1,0,0.0
-37.82100532236697,144.94422256696572,2023-10-16,4,1,1,1.0
-37.8209933776988,144.94532288408283,2025-08-03,10,1,0,0.0
-37.82098668845575,144.95158360736895,2025-06-17,7,1,1,1.0
-37.82098157165377,144.94541576884666,2025-08-03,12,1,0,0.0
-37.8209802619662,144.94431080784483,2023-10-16,4,1,0,0.0
-37.820966865406504,144.9507948468937,2025-06-17,9,1,1,1.0
-37.82094549194014,144.94419402741204,2024-03-22,6,1,1,1.0
-37.82093602215687,144.95154435869017,2025-06-17,7,1,1,1.0
-37.820920432409906,144.94428227453616,2023-10-16,0,1,0,0.0
-37.82091263023649,144.95075208554005,2025-06-17,12,1,0,0.0
-37.82088566451103,144.9441655050968,2023-10-16,4,1,0,0.0
-37.82086060421838,144.9442537418388,2024-03-22,10,1,1,1.0
-37.820849264444725,144.94306585953603,2025-08-02,7,1,0,0.0
-37.82083800986732,144.9562787311334,2025-08-03,13,1,0,0.0
-37.82082484993619,144.94413789756015,2024-04-02,11,1,1,1.0
-37.82082072074438,144.95633848342953,2025-08-03,13,1,0,0.0
-37.820820169304454,144.94077706396166,2025-03-11,23,1,1,1.0
-37.82080343113989,144.95639823680943,2025-08-03,9,1,1,1.0
-37.82079972059559,144.94085212969856,2025-03-11,18,1,1,1.0
-37.820786142875036,144.95645798905178,2025-08-03,8,1,1,1.0
-37.82077818648608,144.94092655518352,2025-03-12,2,1,0,0.0
-37.820768853208214,144.9565177418101,2025-08-03,13,1,0,0.0
-37.820756478572605,144.9409998058623,2025-03-11,18,1,1,1.0
-37.82075156352007,144.95657749343093,2025-08-03,13,1,0,0.0
-37.820749425037675,144.94726499357756,2024-10-22,21,1,1,1.0
-37.8207263715705,144.9513794593367,2025-06-17,12,1,0,0.0
-37.82067837265019,144.95134231522943,2025-06-17,7,1,1,1.0
-37.82067620261746,144.9472477924998,2024-12-24,22,1,1,1.0
-37.820641488195506,144.9569432240824,2025-08-03,13,1,1,1.0
-37.820623113450985,144.9570093619564,2025-08-03,12,1,1,1.0
-37.82061466205916,144.95129142556084,2025-06-17,7,1,1,1.0
-37.82060952613115,144.94546946453903,2025-08-03,1,1,1,1.0
-37.82060499655505,144.95707454621757,2025-08-03,13,1,1,1.0
-37.82060324744333,144.94031698277732,2025-07-30,15,1,0,0.0
-37.82058682406095,144.95714015346647,2025-08-03,13,1,0,0.0
-37.820568689248745,144.95720553114228,2025-08-03,6,1,0,0.0
-37.82056490484314,144.95125247431088,2025-06-17,11,1,0,0.0
-37.82055869070746,144.9429319583788,2025-07-17,12,1,0,0.0
-37.82054611831157,144.94028668910804,2025-08-03,12,1,0,0.0
-37.820544466518626,144.94545223320023,2025-08-03,12,1,0,0.0
-37.82053114138522,144.95470260915596,2025-04-14,2,1,0,0.0
-37.820517767023446,144.9472064257968,2024-12-25,4,1,0,0.0
-37.82050897624245,144.94553800007716,2025-08-03,5,1,1,1.0
-37.82050623465054,144.94290861086614,2025-08-02,5,1,1,1.0
-37.82050057805256,144.95119741111756,2025-06-17,8,1,1,1.0
-37.820493205830815,144.95581543628026,2025-08-03,13,1,0,0.0
-37.82048267530209,144.9454363238093,2025-08-03,6,1,0,0.0
