location,weekday,hour,Present,unoccupied_rate
"-37.80969891034127, 144.97644555131023",Sunday,12,0.0,1.0
"-37.80970625335705, 144.97651305620022",Sunday,10,0.0,1.0
"-37.80971359541424, 144.97658056282089",Sunday,10,0.0,1.0
"-37.809715326707746, 144.9810986597671",Sunday,8,0.0,1.0
"-37.809717904375894, 144.9730099177699",Sunday,5,1.0,0.0
"-37.809718825350195, 144.97067984779267",Sunday,11,0.0,1.0
"-37.809720936561604, 144.9766480671493",Sunday,11,0.0,1.0
"-37.80972376415039, 144.97099638310678",Sunday,11,1.0,0.0
"-37.80972827943312, 144.97671557322076",Sunday,11,0.0,1.0
"-37.8097356213851, 144.97678307815983",Sunday,9,0.0,1.0
"-37.80973855278721, 144.98109482168059",Sunday,6,1.0,0.0
"-37.80973872185618, 144.97061187394345",Sunday,13,0.0,1.0
"-37.809740995100576, 144.95250721026474",Sunday,8,0.0,1.0
"-37.809742964199515, 144.97685058369424",Sunday,13,0.0,1.0
"-37.809750306065084, 144.97691808921945",Sunday,10,0.0,1.0
"-37.80975208464211, 144.97217500552478",Sunday,12,0.0,1.0
"-37.80975764836222, 144.97698559422923",Sunday,10,0.0,1.0
"-37.8097630579857, 144.97052903618362",Sunday,11,0.0,1.0
"-37.80976498972029, 144.97705310099425",Sunday,8,0.0,1.0
"-37.80977232967913, 144.97712060652867",Sunday,11,0.0,1.0
"-37.809775182418605, 144.9810887699614",Sunday,10,0.0,1.0
"-37.80977967410343, 144.9771881115722",Sunday,11,0.0,1.0
"-37.809780944277975, 144.97046816802302",Sunday,11,0.0,1.0
"-37.809782337915024, 144.97114125414208",Sunday,12,0.0,1.0
"-37.80978257026817, 144.97079623261197",Sunday,12,1.0,0.0
"-37.8097869016944, 144.9723035358862",Sunday,11,0.0,1.0
"-37.809787015767654, 144.97725561718653",Sunday,10,0.0,1.0
"-37.809790870724726, 144.9525336522114",Sunday,10,0.0,1.0
"-37.8097917677008, 144.97076399805246",Sunday,10,0.0,1.0
"-37.80979435741304, 144.97732312169308",Sunday,9,0.0,1.0
"-37.80979840579508, 144.98108493186783",Sunday,6,0.0,1.0
"-37.80979985259617, 144.9704046020691",Sunday,12,1.0,0.0
"-37.80980107550256, 144.97073220031848",Sunday,10,0.0,1.0
"-37.8098016990201, 144.97739062791806",Sunday,10,0.0,1.0
"-37.80980904058886, 144.97745813357835",Sunday,7,1.0,0.0
"-37.809811228461804, 144.97220260791624",Sunday,11,0.0,1.0
"-37.809811799125995, 144.97103987130538",Sunday,12,0.0,1.0
"-37.809816383020056, 144.97752563926633",Sunday,11,0.0,1.0
"-37.80982084303858, 144.9706647717369",Sunday,9,0.0,1.0
"-37.80982163232393, 144.98108109435145",Sunday,7,0.0,1.0
"-37.80982590764906, 144.977613224617",Sunday,9,0.0,1.0
"-37.809826587400536, 144.9788954250232",Sunday,8,0.0,1.0
"-37.80982848782082, 144.97063865748817",Sunday,12,1.0,0.0
"-37.809833249091454, 144.97768072350834",Sunday,10,0.0,1.0
"-37.80983351519755, 144.97896296293217",Sunday,3,0.0,1.0
"-37.809835219681005, 144.9723259750923",Sunday,12,0.0,1.0
"-37.80983613304747, 144.97061254265424",Sunday,10,0.0,1.0
"-37.80984059050527, 144.9777482286793",Sunday,9,0.0,1.0
"-37.80984075270797, 144.95256009473428",Thursday,8,0.0,1.0
"-37.80984383399, 144.97058642839502",Sunday,9,1.0,0.0
"-37.80984489838855, 144.98107725682007",Sunday,11,0.0,1.0
"-37.809846723724554, 144.9809029872756",Sunday,13,0.0,1.0
"-37.809847931861256, 144.97781573500095",Saturday,11,1.0,0.0
"-37.80985527319844, 144.97788324019035",Sunday,11,0.0,1.0
"-37.80986340442115, 144.97051957741644",Sunday,12,1.0,0.0
"-37.809863966907926, 144.97222698193443",Sunday,10,0.0,1.0
"-37.80988148759086, 144.98107120508115",Sunday,7,0.0,1.0
"-37.80988630038749, 144.97234932670602",Sunday,11,0.0,1.0
"-37.8098906355965, 144.9525865367229",Sunday,13,0.0,1.0
"-37.809891387131564, 144.98089532605928",Sunday,13,0.0,1.0
"-37.80989306132335, 144.97572600850995",Sunday,6,1.0,0.0
"-37.809902739158495, 144.97038501828393",Sunday,10,0.0,1.0
"-37.809910311128576, 144.97035915417365",Sunday,11,0.0,1.0
"-37.809912035820574, 144.97069548972638",Sunday,11,0.0,1.0
"-37.80991444270796, 144.97225042698597",Sunday,10,0.0,1.0
"-37.80991773076221, 144.9703338093538",Sunday,10,0.0,1.0
"-37.80991962745114, 144.97298012356163",Monday,23,1.0,0.0
"-37.80992492778876, 144.9703092236904",Sunday,10,0.0,1.0
"-37.80992531294306, 144.97572087935964",Sunday,12,0.0,1.0
"-37.809927937944025, 144.98106352944617",Sunday,12,0.0,1.0
"-37.8099307042784, 144.97063156433674",Sunday,12,0.0,1.0
"-37.80993497783538, 144.97237175563987",Sunday,13,0.0,1.0
"-37.8099402111704, 144.96635508204457",Tuesday,23,1.0,0.0
"-37.8099405203108, 144.95261297928766",Sunday,8,0.0,1.0
"-37.80994345691675, 144.9702461947253",Sunday,10,0.0,1.0
"-37.80994611394824, 144.96289154060165",Monday,1,1.0,0.0
"-37.80994954406519, 144.97056706681252",Sunday,12,0.0,1.0
"-37.80995071804908, 144.9702211247601",Sunday,11,0.0,1.0
"-37.8099511644713, 144.98105969189004",Sunday,6,0.0,1.0
"-37.809957839970366, 144.97571550085905",Sunday,8,1.0,0.0
"-37.80995805934285, 144.97019604728666",Sunday,10,0.0,1.0
"-37.809958781756386, 144.9662913211307",Friday,5,0.0,1.0
"-37.809964822983446, 144.96282704636855",Monday,1,1.0,0.0
"-37.8099651767365, 144.97227394883288",Sunday,11,0.0,1.0
"-37.80996543973677, 144.97017083409781",Sunday,11,0.0,1.0
"-37.80996728967321, 144.97885293740686",Sunday,9,0.0,1.0
"-37.80997391735848, 144.972973110736",Tuesday,0,1.0,0.0
"-37.80997470999398, 144.97892006609857",Sunday,7,1.0,0.0
"-37.80997748265579, 144.96622767038411",Tuesday,23,1.0,0.0
"-37.80998214102748, 144.97898719421062",Sunday,11,0.0,1.0
"-37.80998224279378, 144.96276328434533",Monday,1,0.0,1.0
"-37.80998399961277, 144.97010747421155",Sunday,11,0.0,1.0
"-37.80998955218696, 144.97905432038945",Sunday,9,0.0,1.0
"-37.809990366556505, 144.97571012234073",Sunday,11,0.0,1.0
"-37.80999043132775, 144.95263935688112",Sunday,13,0.0,1.0
"-37.809991277464036, 144.9727355959888",Sunday,11,0.0,1.0
"-37.8099915247975, 144.9700817056739",Sunday,12,0.0,1.0
"-37.80999600439242, 144.96616377274182",Tuesday,23,1.0,0.0
"-37.809996972844445, 144.97912144571848",Sunday,9,0.0,1.0
"-37.80999900178441, 144.97005620734325",Sunday,13,0.0,1.0
"-37.810004366308725, 144.97918843039224",Sunday,10,0.0,1.0
"-37.810005718826915, 144.96267355535707",Monday,0,1.0,0.0
"-37.810006553676985, 144.97003041759416",Sunday,13,0.0,1.0
"-37.8100117935802, 144.97925548457133",Sunday,7,1.0,0.0
"-37.810014876582414, 144.96609877407627",Tuesday,23,1.0,0.0
"-37.81001589255792, 144.972297539473",Sunday,13,0.0,1.0
"-37.81001920918324, 144.97932283004002",Sunday,8,0.0,1.0
"-37.81002289314208, 144.97570474382923",Sunday,12,0.0,1.0
"-37.81002440513207, 144.96260961920785",Monday,0,1.0,0.0
"-37.81002583036282, 144.97296632752665",Tuesday,0,1.0,0.0
"-37.8100265659921, 144.97939014817743",Sunday,10,0.0,1.0
"-37.81003389356151, 144.96603423975398",Tuesday,23,1.0,0.0
"-37.8100339483273, 144.97945746392446",Sunday,7,0.0,1.0
"-37.81004057439919, 144.95266502921604",Friday,5,0.0,1.0
"-37.81004133865092, 144.9795247962354",Sunday,8,1.0,0.0
"-37.810043091401525, 144.9625456829915",Monday,1,1.0,0.0
"-37.81004472092478, 144.9727274733333",Sunday,10,0.0,1.0
"-37.8100463496191, 144.97023714961938",Sunday,11,0.0,1.0
"-37.810048713341104, 144.9795921579583",Sunday,11,0.0,1.0
"-37.81005359443116, 144.96596691247518",Tuesday,23,1.0,0.0
"-37.8100554197271, 144.97569936474463",Sunday,12,0.0,1.0
"-37.81005605999914, 144.9796594959434",Sunday,11,0.0,1.0
"-37.810061775804314, 144.9624817467575",Monday,0,1.0,0.0
"-37.81006324766466, 144.97972588052397",Sunday,10,0.0,1.0
"-37.81006651045614, 144.97016789080607",Sunday,11,0.0,1.0
"-37.8100665581144, 144.97232129845833",Sunday,13,0.0,1.0
"-37.8100665768745, 144.9661034598762",Friday,3,1.0,0.0
"-37.8100704420167, 144.97979225966645",Sunday,6,0.0,1.0
"-37.810072372731454, 144.9659027709308",Tuesday,23,1.0,0.0
"-37.810075248630795, 144.96697657130892",Sunday,12,0.0,1.0
"-37.810080072069375, 144.97988146471855",Sunday,7,0.0,1.0
"-37.81008064330046, 144.97295945855475",Tuesday,0,1.0,0.0
"-37.81008145056822, 144.98121755605683",Sunday,7,0.0,1.0
"-37.81008577190786, 144.96603938825643",Friday,3,1.0,0.0
"-37.810087253153384, 144.97994641892151",Sunday,13,0.0,1.0
"-37.81008794630179, 144.97569398622227",Sunday,13,0.0,1.0
"-37.81008895306813, 144.98128503577414",Sunday,10,0.0,1.0
"-37.81009020944728, 144.9658421615201",Tuesday,23,0.0,1.0
"-37.810090915002306, 144.95269006303647",Saturday,22,0.0,1.0
"-37.81009441621573, 144.98001137397915",Sunday,12,0.0,1.0
"-37.810096455069626, 144.98135251608676",Sunday,10,0.0,1.0
"-37.810098725204256, 144.97271946118724",Sunday,12,0.0,1.0
"-37.81010160888941, 144.9800763625421",Sunday,8,0.0,1.0
"-37.81010741367011, 144.96578340582943",Tuesday,23,1.0,0.0
"-37.81010880145669, 144.98014148110727",Sunday,12,0.0,1.0
"-37.81011601810408, 144.98020679577505",Sunday,7,0.0,1.0
"-37.810117223206504, 144.972345058043",Sunday,13,0.0,1.0
"-37.81012047333607, 144.9756886076944",Sunday,13,1.0,0.0
"-37.8101232490888, 144.98027207286776",Sunday,7,0.0,1.0
"-37.81012648871534, 144.98162227087965",Sunday,13,0.0,1.0
"-37.81013046683342, 144.98033722414348",Sunday,7,0.0,1.0
"-37.81013361598532, 144.98168637602356",Sunday,13,1.0,0.0
"-37.81013766725299, 144.98040223420435",Sunday,8,0.0,1.0
"-37.81013912607695, 144.97295262087988",Tuesday,0,1.0,0.0
"-37.81014111821908, 144.9817538552803",Sunday,8,1.0,0.0
"-37.81014123833853, 144.95271508397371",Saturday,17,0.0,1.0
"-37.81014496183654, 144.98046793461356",Sunday,10,0.0,1.0
"-37.81014835868348, 144.9656417510855",Tuesday,23,1.0,0.0
"-37.81014861994468, 144.98182133513234",Sunday,8,0.0,1.0
"-37.810152184107466, 144.98053295246075",Sunday,9,0.0,1.0
"-37.81015219787814, 144.97271136949473",Sunday,10,0.0,1.0
"-37.810152999469054, 144.97568322914884",Sunday,12,0.0,1.0
"-37.8101561221018, 144.9818888144199",Sunday,9,0.0,1.0
"-37.81015925751431, 144.98059660544698",Sunday,13,0.0,1.0
"-37.81016362422061, 144.98195629372287",Sunday,9,0.0,1.0
"-37.81016437697879, 144.96689143607355",Sunday,12,1.0,0.0
"-37.810164552190635, 144.97814572352434",Sunday,9,0.0,1.0
"-37.810166179630386, 144.9806603175337",Sunday,10,0.0,1.0
"-37.81016753034777, 144.97236865287005",Sunday,13,1.0,0.0
"-37.8101677069083, 144.96557568924243",Tuesday,22,1.0,0.0
"-37.810167772963055, 144.96701904952067",Sunday,12,1.0,0.0
"-37.8101691211248, 144.9657566431519",Tuesday,23,0.0,1.0
"-37.8101711258021, 144.98202377135044",Sunday,11,0.0,1.0
"-37.810179216583734, 144.95578481865783",Tuesday,11,1.0,0.0
"-37.81018552605183, 144.97567785062242",Sunday,11,0.0,1.0
"-37.81018704959345, 144.96550959640288",Tuesday,23,0.0,1.0
"-37.8101876339628, 144.96690220578893",Sunday,13,0.0,1.0
"-37.81018811964185, 144.96569164078795",Friday,4,1.0,0.0
"-37.81019990197624, 144.97294577505386",Monday,23,1.0,0.0
"-37.81020592601129, 144.96563071540535",Tuesday,22,0.0,1.0
"-37.81020639361004, 144.96544349972828",Tuesday,23,1.0,0.0
"-37.81021089093612, 144.9669129755109",Sunday,13,0.0,1.0
"-37.81021796547164, 144.97567247151056",Sunday,13,0.0,1.0
"-37.81021819600076, 144.97813687073062",Sunday,9,0.0,1.0
"-37.810219381758266, 144.9670427256048",Sunday,13,0.0,1.0
"-37.81022373324706, 144.96556979001764",Thursday,22,1.0,0.0
"-37.81022571352348, 144.9653774046867",Friday,3,1.0,0.0
"-37.81022784109334, 144.96679247393865",Sunday,13,0.0,1.0
"-37.810230427024415, 144.97837239923848",Sunday,12,1.0,0.0
"-37.81023414700783, 144.96692374522712",Sunday,12,1.0,0.0
"-37.81024273165785, 144.96550478754781",Tuesday,22,1.0,0.0
"-37.810244152281484, 144.9558143716356",Tuesday,21,1.0,0.0
"-37.810245537194746, 144.9653118312001",Tuesday,22,0.0,1.0
"-37.810245961509196, 144.96921394363216",Sunday,13,0.0,1.0
"-37.810250461302246, 144.97566700276644",Sunday,11,0.0,1.0
"-37.81025476640585, 144.9691838165588",Sunday,12,0.0,1.0
"-37.81025740397943, 144.96693451497464",Sunday,13,0.0,1.0
"-37.81026115836301, 144.97294181070765",Monday,23,1.0,0.0
"-37.8102629212641, 144.9654357091361",Friday,4,0.0,1.0
"-37.81026342710544, 144.96915418415912",Sunday,11,0.0,1.0
"-37.810269603539936, 144.97812841896123",Sunday,9,0.0,1.0
"-37.81027103052531, 144.9670663835568",Sunday,13,0.0,1.0
"-37.81027225794166, 144.96912396834176",Sunday,12,0.0,1.0
"-37.81027866121613, 144.9668157023667",Sunday,11,1.0,0.0
"-37.81028044883135, 144.96694518657677",Sunday,13,1.0,0.0
"-37.81028121719562, 144.96909321496474",Sunday,12,0.0,1.0
"-37.81028160871656, 144.9783637210504",Sunday,9,0.0,1.0
"-37.81028218639029, 144.96537084871932",Tuesday,22,1.0,0.0
"-37.810283032379985, 144.97566159211016",Sunday,11,0.0,1.0
"-37.8102854657974, 144.9830428893452",Sunday,7,0.0,1.0
"-37.81028996417745, 144.96906337925418",Sunday,13,1.0,0.0
"-37.810290412621754, 144.97537457602735",Sunday,10,0.0,1.0
"-37.810298271624305, 144.96903463838794",Sunday,13,0.0,1.0
"-37.81029947853821, 144.96531061970745",Friday,5,1.0,0.0
"-37.81030328247425, 144.96695576061347",Sunday,12,1.0,0.0
"-37.81030926514917, 144.95584442672424",Tuesday,21,0.0,1.0
"-37.810315602997036, 144.97565625947374",Sunday,11,0.0,1.0
"-37.81031658628852, 144.9689726149363",Sunday,12,0.0,1.0
"-37.810319828935384, 144.97293976160455",Tuesday,0,1.0,0.0
"-37.810322721075494, 144.96709005970536",Sunday,13,0.0,1.0
"-37.81032556866694, 144.96894199588996",Sunday,13,1.0,0.0
"-37.810326116566685, 144.96696633465655",Sunday,13,0.0,1.0
"-37.81032697555239, 144.94975449627862",Tuesday,0,1.0,0.0
"-37.81032948087469, 144.9668389313935",Sunday,13,0.0,1.0
"-37.81033279265916, 144.9783550428363",Sunday,11,0.0,1.0
"-37.810334301158015, 144.96891216705563",Sunday,13,0.0,1.0
"-37.81033788176496, 144.97811715325867",Sunday,9,0.0,1.0
"-37.81034291748419, 144.9688825826736",Sunday,13,0.0,1.0
"-37.81034399921628, 144.97536559600223",Sunday,12,0.0,1.0
"-37.81034820879326, 144.97565092627656",Sunday,13,0.0,1.0
"-37.81034854531248, 144.94969754553495",Monday,23,1.0,0.0
"-37.81034895065827, 144.96697690871835",Sunday,13,1.0,0.0
"-37.8103516363898, 144.96885285230542",Sunday,13,0.0,1.0
"-37.810360151885874, 144.96882366467938",Sunday,11,1.0,0.0
"-37.81036492957013, 144.96490200828873",Tuesday,22,0.0,1.0
"-37.810368469239876, 144.9687950736765",Sunday,13,0.0,1.0
"-37.810368573682524, 144.95587160790618",Tuesday,21,1.0,0.0
"-37.81037178429865, 144.96698748278652",Sunday,9,1.0,0.0
"-37.8103743707447, 144.96711375461814",Sunday,12,1.0,0.0
"-37.81037889742889, 144.97293892344447",Tuesday,0,1.0,0.0
"-37.81038030052923, 144.96686215988376",Sunday,12,1.0,0.0
"-37.810383455394586, 144.96483799782146",Friday,5,0.0,1.0
"-37.81038397300706, 144.97834636455923",Monday,8,0.0,1.0
"-37.810384294451374, 144.95847259942013",Thursday,2,1.0,0.0
"-37.810386613474975, 144.9687336650038",Sunday,12,1.0,0.0
"-37.81038873358746, 144.96500475513582",Friday,5,0.0,1.0
"-37.81038928993854, 144.97810865175853",Sunday,9,0.0,1.0
"-37.8103941257034, 144.96699783693825",Sunday,13,0.0,1.0
"-37.81039540990433, 144.96870376894992",Sunday,13,0.0,1.0
"-37.81039757723676, 144.97535659838871",Sunday,10,0.0,1.0
"-37.81040230075237, 144.96477289718422",Friday,5,0.0,1.0
"-37.81040414771823, 144.9686739588431",Sunday,12,1.0,0.0
"-37.81040728241008, 144.96494093126182",Tuesday,22,1.0,0.0
"-37.810412827837034, 144.9686441031432",Sunday,13,1.0,0.0
"-37.81042151264754, 144.96861424686875",Sunday,10,1.0,0.0
"-37.810422676785635, 144.96470249302843",Friday,5,0.0,1.0
"-37.81042604580227, 144.96487703053606",Friday,3,1.0,0.0
"-37.81042605056351, 144.9671373266492",Sunday,12,0.0,1.0
"-37.81042999318831, 144.9685850415174",Sunday,13,0.0,1.0
"-37.810431120639905, 144.96688538841744",Sunday,13,0.0,1.0
"-37.81043515424458, 144.97833768694665",Sunday,12,0.0,1.0
"-37.810438278379074, 144.9685565319365",Sunday,13,0.0,1.0
"-37.810442933449934, 144.97809977955262",Sunday,10,0.0,1.0
"-37.810446242750956, 144.96480321905187",Tuesday,23,1.0,0.0
"-37.8104511556963, 144.97534752018657",Sunday,11,0.0,1.0
"-37.810466501144106, 144.97217229602532",Sunday,11,0.0,1.0
"-37.810468180173274, 144.96879411251172",Sunday,13,0.0,1.0
"-37.81047780944391, 144.96716062051107",Sunday,13,0.0,1.0
"-37.81047838708219, 144.97230467867075",Sunday,12,0.0,1.0
"-37.81048201748722, 144.96690861753746",Saturday,12,1.0,0.0
"-37.81048616296172, 144.97210511002626",Sunday,11,0.0,1.0
"-37.81048633683179, 144.9783290087034",Sunday,9,0.0,1.0
"-37.810487086510605, 144.9687299278653",Sunday,13,0.0,1.0
"-37.8104952625608, 144.94931263579855",Tuesday,2,1.0,0.0
"-37.81049657233905, 144.97809090733188",Sunday,10,0.0,1.0
"-37.81049960200317, 144.97223311068126",Saturday,16,0.0,1.0
"-37.81050471230603, 144.97533844565666",Sunday,12,0.0,1.0
"-37.810505910159556, 144.9686660546946",Sunday,13,0.0,1.0
"-37.81050685559316, 144.96832385291088",Sunday,12,1.0,0.0
"-37.810515062964136, 144.96829537364198",Sunday,13,0.0,1.0
"-37.81051864102663, 144.94925120073324",Monday,23,1.0,0.0
"-37.81052097557947, 144.97216029878456",Sunday,13,1.0,0.0
"-37.81052468652243, 144.96860215952597",Sunday,12,1.0,0.0
"-37.81052702660541, 144.9671826078899",Sunday,13,1.0,0.0
"-37.81053407934632, 144.96823134428138",Friday,23,1.0,0.0
"-37.810537517616076, 144.97832033044642",Tuesday,23,0.0,1.0
"-37.81054201993924, 144.9491897644944",Tuesday,2,0.0,1.0
"-37.81054311127097, 144.9682004446135",Sunday,13,0.0,1.0
"-37.81054491179475, 144.97294222605115",Monday,20,1.0,0.0
"-37.810550213731986, 144.9780820284193",Sunday,10,0.0,1.0
"-37.81055181554786, 144.96817066309598",Sunday,10,1.0,0.0
"-37.8105600050226, 144.96814288315204",Sunday,13,1.0,0.0
"-37.81056539924922, 144.9491283293653",Tuesday,2,1.0,0.0
"-37.8105679515687, 144.96811522171183",Sunday,13,0.0,1.0
"-37.81057630472673, 144.9680868422238",Sunday,11,1.0,0.0
"-37.810585009767664, 144.96805719749062",Sunday,11,1.0,0.0
"-37.81058867414676, 144.97831165218793",Sunday,9,0.0,1.0
"-37.81058876771162, 144.94906689819655",Tuesday,0,0.0,1.0
"-37.81060256999946, 144.97294557163235",Friday,13,0.0,1.0
"-37.810611148913466, 144.94900805910913",Monday,23,1.0,0.0
"-37.81063523212935, 144.96788874621052",Sunday,13,0.0,1.0
"-37.81063959801361, 144.9489331896371",Tuesday,3,0.0,1.0
"-37.81064203847192, 144.96820358907266",Sunday,13,0.0,1.0
"-37.810643554488905, 144.96786024613817",Sunday,13,0.0,1.0
"-37.81065243137996, 144.96782988802386",Sunday,10,1.0,0.0
"-37.8106605931166, 144.96814061138014",Thursday,3,1.0,0.0
"-37.81066100459809, 144.9488768305477",Tuesday,4,1.0,0.0
"-37.81066931439631, 144.97587520922048",Sunday,10,0.0,1.0
"-37.81066947651698, 144.9836232361322",Sunday,7,0.0,1.0
"-37.81067068109415, 144.96776781186512",Wednesday,6,0.0,1.0
"-37.81067634340933, 144.97593939468675",Sunday,11,0.0,1.0
"-37.81067888362958, 144.96773985234773",Tuesday,22,0.0,1.0
"-37.810679263087735, 144.9680772533104",Sunday,13,0.0,1.0
"-37.81068226405352, 144.97143921074053",Sunday,13,0.0,1.0
"-37.810683569183226, 144.97600564630014",Sunday,12,0.0,1.0
"-37.81068435233683, 144.94881538112529",Tuesday,2,1.0,0.0
"-37.810684451948006, 144.97295146327076",Monday,7,0.0,1.0
"-37.81068739943069, 144.96771082732118",Saturday,6,1.0,0.0
"-37.81068840095509, 144.9782985151345",Sunday,10,0.0,1.0
"-37.810690502415206, 144.97606861650132",Sunday,10,0.0,1.0
"-37.810696148803046, 144.96768100355843",Wednesday,5,1.0,0.0
"-37.81069749719495, 144.9761329476023",Sunday,9,0.0,1.0
"-37.810698084550886, 144.96801337873",Sunday,12,1.0,0.0
"-37.810702970855324, 144.9713693828465",Sunday,12,1.0,0.0
"-37.810704626410924, 144.9761986586807",Sunday,11,0.0,1.0
"-37.810705015181966, 144.96765078015247",Tuesday,6,1.0,0.0
"-37.81071163255924, 144.97626320381835",Sunday,9,0.0,1.0
"-37.810711795761215, 144.97805469947485",Sunday,11,0.0,1.0
"-37.81071399947775, 144.96762015768294",Tuesday,6,1.0,0.0
"-37.81071695275888, 144.9679495035502",Sunday,13,1.0,0.0
"-37.81071857953126, 144.97632719234036",Tuesday,3,0.0,1.0
"-37.81072332717126, 144.9713002485777",Sunday,13,0.0,1.0
"-37.81072485680764, 144.98361406645805",Sunday,8,0.0,1.0
"-37.810725587048466, 144.97639176128706",Sunday,9,0.0,1.0
"-37.81073265315156, 144.97645686934112",Sunday,13,1.0,0.0
"-37.8107357278009, 144.96788565150166",Sunday,13,0.0,1.0
"-37.81073958206347, 144.97828979044507",Sunday,9,0.0,1.0
"-37.81073975814428, 144.9765223495529",Sunday,13,1.0,0.0
"-37.81074692490306, 144.97658841133818",Sunday,11,0.0,1.0
"-37.81075417553171, 144.97665521951174",Sunday,11,0.0,1.0
"-37.81075468352928, 144.9678212234596",Sunday,13,0.0,1.0
"-37.810756490325865, 144.97804723001065",Sunday,11,0.0,1.0
"-37.810762405879316, 144.9767310953801",Sunday,9,0.0,1.0
"-37.81077142757708, 144.9768137665318",Sunday,11,0.0,1.0
"-37.81077384126779, 144.96775627359773",Sunday,13,0.0,1.0
"-37.8107802456345, 144.98360491584899",Sunday,8,0.0,1.0
"-37.810785564484966, 144.983362727202",Sunday,8,0.0,1.0
"-37.81079078746573, 144.9782811050645",Sunday,13,0.0,1.0
"-37.810792976254675, 144.96769134576766",Sunday,13,0.0,1.0
"-37.8108123453408, 144.9676255895189",Sunday,12,1.0,0.0
"-37.81083563445006, 144.9835957644117",Sunday,7,1.0,0.0
"-37.8108375198034, 144.98335418907993",Saturday,23,1.0,0.0
"-37.810840069426604, 144.97827273967437",Sunday,13,0.0,1.0
"-37.81084267904744, 144.97746762199756",Sunday,13,0.0,1.0
"-37.81084687052625, 144.97087774799098",Sunday,12,0.0,1.0
"-37.81084937986229, 144.97752933315957",Sunday,11,0.0,1.0
"-37.81085653337642, 144.9775952070174",Sunday,12,0.0,1.0
"-37.810859147772454, 144.98671917327061",Sunday,9,0.0,1.0
"-37.81086362453706, 144.97766052138235",Sunday,9,0.0,1.0
"-37.8108657709793, 144.9708137450376",Sunday,10,1.0,0.0
"-37.810866560873734, 144.98678666808524",Saturday,22,1.0,0.0
"-37.81086842243505, 144.96676138730086",Sunday,13,1.0,0.0
"-37.81087034733605, 144.97772244040857",Sunday,9,0.0,1.0
"-37.81087397437736, 144.98685416441745",Sunday,5,0.0,1.0
"-37.81087694645909, 144.97778321955064",Sunday,9,0.0,1.0
"-37.810881374360335, 144.98692166074048",Tuesday,22,1.0,0.0
"-37.810883566294734, 144.9778441861417",Sunday,9,0.0,1.0
"-37.81088357307434, 144.97075309929193",Sunday,10,0.0,1.0
"-37.81088877341393, 144.98698915767085",Sunday,9,0.0,1.0
"-37.81088939603193, 144.96668991789758",Sunday,11,1.0,0.0
"-37.810889451739584, 144.9833456302623",Sunday,8,0.0,1.0
"-37.8108910241745, 144.98358661241565",Sunday,5,1.0,0.0
"-37.81089615671439, 144.98705665464092",Saturday,4,1.0,0.0
"-37.81090164460444, 144.97069246821482",Tuesday,10,0.0,1.0
"-37.810903540407466, 144.98712415497835",Sunday,1,0.0,1.0
"-37.81090579887784, 144.97634115083747",Sunday,9,0.0,1.0
"-37.81090906486972, 144.96662346197735",Sunday,13,1.0,0.0
"-37.81091092047856, 144.98719165335882",Saturday,15,1.0,0.0
"-37.8109132011662, 144.9764084657962",Sunday,10,0.0,1.0
"-37.8109183099499, 144.98725915230997",Sunday,2,1.0,0.0
"-37.81092049676424, 144.97062863797422",Sunday,12,0.0,1.0
"-37.81092060298549, 144.97647600627818",Sunday,11,0.0,1.0
"-37.810922428323394, 144.97079463705296",Sunday,12,1.0,0.0
"-37.81092570027397, 144.9873266507209",Sunday,11,0.0,1.0
"-37.81092801328627, 144.97654350520963",Tuesday,4,0.0,1.0
"-37.81092948294076, 144.96655417860907",Sunday,13,1.0,0.0
"-37.810930979354524, 144.98623496221023",Sunday,8,1.0,0.0
"-37.81093309055969, 144.98739414514165",Sunday,5,0.0,1.0
"-37.81093540705386, 144.97661099821943",Sunday,2,0.0,1.0
"-37.81093843141535, 144.97056801842808",Sunday,11,0.0,1.0
"-37.81094048577442, 144.97073333750177",Sunday,11,1.0,0.0
"-37.81094052483766, 144.98746164548174",Sunday,7,1.0,0.0
"-37.81094147219501, 144.9833370872692",Sunday,11,0.0,1.0
"-37.810942795326454, 144.97667853054583",Sunday,8,1.0,0.0
"-37.810946413437264, 144.98357746093495",Sunday,8,0.0,1.0
"-37.81094794874767, 144.98752914125174",Sunday,5,0.0,1.0
"-37.810948345587676, 144.97825469788137",Sunday,10,0.0,1.0
"-37.81094996879011, 144.97674474286174",Sunday,10,0.0,1.0
"-37.810955372159256, 144.9875966342649",Saturday,4,1.0,0.0
"-37.81095731879638, 144.97681213327434",Sunday,10,0.0,1.0
"-37.810960212248105, 144.97066680013327",Sunday,12,0.0,1.0
"-37.81096279554221, 144.9876641267256",Sunday,1,1.0,0.0
"-37.81096486029742, 144.97688247485257",Sunday,10,0.0,1.0
"-37.81097019596591, 144.98773161975703",Sunday,12,1.0,0.0
"-37.81097238733205, 144.9769523129807",Sunday,10,0.0,1.0
"-37.81097355405073, 144.97558500629006",Sunday,11,0.0,1.0
"-37.81097757344973, 144.98779911629026",Saturday,2,0.0,1.0
"-37.81098023369967, 144.98622663255236",Sunday,8,1.0,0.0
"-37.810980619735375, 144.9705976665644",Sunday,11,0.0,1.0
"-37.810984950885526, 144.98786661742378",Sunday,1,0.0,1.0
