location,weekday,hour,Present,unoccupied_rate
"-37.80090875683292, 144.95327369052112",Friday,12,0.0,1.0
"-37.80095837291265, 144.9563318007127",Tuesday,12,1.0,0.0
"-37.8009934710212, 144.95637587995068",Sunday,10,1.0,0.0
"-37.80100747331648, 144.95527868360097",Friday,2,0.0,1.0
"-37.801027517001785, 144.96248660354314",Tuesday,1,1.0,0.0
"-37.80102856660713, 144.95641996698578",Thursday,10,0.0,1.0
"-37.80104684509336, 144.9552288087205",Sunday,13,0.0,1.0
"-37.801075280046305, 144.96247843591453",Thursday,5,1.0,0.0
"-37.801086268872844, 144.95517890707015",Sunday,13,0.0,1.0
"-37.801102489037255, 144.95549199798984",Sunday,10,1.0,0.0
"-37.80112349436077, 144.96247019570654",Thursday,4,1.0,0.0
"-37.801140626195725, 144.95544370299453",Sunday,11,1.0,0.0
"-37.80117213148173, 144.96246186340989",Wednesday,22,1.0,0.0
"-37.80117876376342, 144.9553954201313",Saturday,14,1.0,0.0
"-37.801196468157144, 144.95504013951893",Sunday,11,0.0,1.0
"-37.80121690176004, 144.9553471360721",Sunday,9,0.0,1.0
"-37.8012261364757, 144.9624526013939",Thursday,4,1.0,0.0
"-37.80123701721285, 144.95498880523243",Saturday,0,1.0,0.0
"-37.80125503311761, 144.95529885196453",Sunday,10,0.0,1.0
"-37.80127791999085, 144.9549370169633",Sunday,12,1.0,0.0
"-37.80129159001788, 144.95525258800507",Sunday,8,1.0,0.0
"-37.80131826360962, 144.95488598477425",Wednesday,5,1.0,0.0
"-37.801424629323975, 144.95508396396247",Friday,0,1.0,0.0
"-37.80146257809632, 144.9550358741397",Sunday,10,0.0,1.0
"-37.80149840416573, 144.9546578797619",Sunday,10,0.0,1.0
"-37.80150062459572, 144.9549877030704",Saturday,20,0.0,1.0
"-37.80153839590258, 144.95493989008185",Sunday,11,0.0,1.0
"-37.80154154459622, 144.9546037255035",Saturday,20,1.0,0.0
"-37.801553914437456, 144.95656810521356",Sunday,13,0.0,1.0
"-37.80157667692333, 144.95489135251938",Sunday,7,0.0,1.0
"-37.80158323944731, 144.95455160795512",Sunday,9,0.0,1.0
"-37.801605221660694, 144.95655902048355",Tuesday,6,0.0,1.0
"-37.80176581946087, 144.9565309645787",Sunday,10,0.0,1.0
"-37.80181717195635, 144.95652170245594",Sunday,11,0.0,1.0
"-37.8018999528026, 144.96233770341735",Friday,1,0.0,1.0
"-37.80195349886469, 144.9623282461336",Friday,1,0.0,1.0
"-37.802007044484625, 144.9623187882548",Thursday,22,1.0,0.0
"-37.80218970086564, 144.9586617931266",Sunday,7,1.0,0.0
"-37.80220387416213, 144.9609413122746",Thursday,2,1.0,0.0
"-37.802207077793355, 144.9609705575371",Thursday,3,0.0,1.0
"-37.80221028139775, 144.96099980337007",Thursday,3,0.0,1.0
"-37.80221348499492, 144.96102904863818",Thursday,3,1.0,0.0
"-37.802216688584906, 144.9610582939215",Thursday,2,1.0,0.0
"-37.802223746396926, 144.96111707151726",Thursday,2,0.0,1.0
"-37.80222694998491, 144.9611463167968",Thursday,2,1.0,0.0
"-37.80223015354606, 144.96117556264676",Thursday,1,1.0,0.0
"-37.80223335664963, 144.96120480793184",Thursday,2,1.0,0.0
"-37.80223656015707, 144.9612340509617",Thursday,2,0.0,1.0
"-37.802242080448615, 144.96129218606376",Thursday,2,0.0,1.0
"-37.802245282357404, 144.9613214313597",Thursday,2,0.0,1.0
"-37.80224848587544, 144.961350677226",Thursday,2,1.0,0.0
"-37.80225168938629, 144.9613799225275",Thursday,2,1.0,0.0
"-37.80225856919544, 144.9614389418973",Wednesday,10,0.0,1.0
"-37.80226177268457, 144.96146818720734",Wednesday,8,0.0,1.0
"-37.8022649761665, 144.96149743252016",Thursday,2,0.0,1.0
"-37.80226817919086, 144.96152667783582",Wednesday,22,0.0,1.0
"-37.802271382658404, 144.96155592654753",Thursday,3,1.0,0.0
"-37.802277599315886, 144.96161438831626",Thursday,1,0.0,1.0
"-37.802280763677544, 144.9616436342106",Thursday,2,0.0,1.0
"-37.80228396713595, 144.96167287954006",Wednesday,17,0.0,1.0
"-37.80228717056752, 144.96170212543996",Saturday,13,0.0,1.0
"-37.802294006064535, 144.9617628633649",Saturday,11,0.0,1.0
"-37.80229720947396, 144.96179210870582",Wednesday,6,0.0,1.0
"-37.80230041287619, 144.96182135461714",Saturday,13,0.0,1.0
"-37.80230361629087, 144.9618505999636",Wednesday,23,0.0,1.0
"-37.80249768155137, 144.95799701463113",Wednesday,21,0.0,1.0
"-37.80254631917579, 144.95801948528828",Monday,9,0.0,1.0
"-37.8025970744775, 144.95804292882846",Wednesday,4,0.0,1.0
"-37.802647830225396, 144.95806637584144",Wednesday,20,0.0,1.0
"-37.80269858597897, 144.95808982173668",Monday,20,0.0,1.0
"-37.802851692468245, 144.96684067841218",Wednesday,6,1.0,0.0
"-37.80285502474163, 144.96687098883416",Wednesday,6,1.0,0.0
"-37.80285847413141, 144.96690236819168",Wednesday,7,1.0,0.0
"-37.802861950274846, 144.96693353068628",Wednesday,7,1.0,0.0
"-37.80286903187459, 144.96699877866286",Wednesday,7,1.0,0.0
"-37.80292699065639, 144.9581953326021",Sunday,11,0.0,1.0
"-37.80297774274466, 144.95821878140055",Saturday,12,0.0,1.0
"-37.80300968515433, 144.9674300407838",Wednesday,8,1.0,0.0
"-37.80301651986615, 144.9674918974476",Wednesday,8,1.0,0.0
"-37.803028516643494, 144.95824222807",Wednesday,2,0.0,1.0
"-37.80303440983009, 144.96765439564842",Wednesday,7,1.0,0.0
"-37.80304231771021, 144.96772768900928",Wednesday,8,1.0,0.0
"-37.80307925691528, 144.9582656822943",Wednesday,4,0.0,1.0
"-37.80311893197736, 144.95022626642123",Sunday,12,0.0,1.0
"-37.803122423569235, 144.95025738046655",Sunday,11,0.0,1.0
"-37.80312601550219, 144.95028936577094",Sunday,13,0.0,1.0
"-37.80313000809029, 144.95828911989497",Wednesday,4,0.0,1.0
"-37.80313925540028, 144.94821838597755",Sunday,9,0.0,1.0
"-37.80313959179574, 144.95041041774493",Sunday,12,0.0,1.0
"-37.803142764884264, 144.9504386348559",Sunday,7,1.0,0.0
"-37.80314610562938, 144.95046851381073",Sunday,10,0.0,1.0
"-37.80314956331485, 144.9505000417325",Sunday,10,0.0,1.0
